EPS	burst	alpha-b	p->c	p->ic	p->eps	C:E/C	P:E/P	I:E/I
0.1	2	0.80	1.03	0.31	0.62	0.24	0.00	0.03
0.1	2	0.89	1.03	0.36	0.61	0.30	0.00	0.04
0.1	2	0.66	1.03	0.30	0.69	0.20	0.00	0.02
0.3	2	0.95	1.05	0.37	0.58	0.48	0.01	0.11
0.3	2	1.01	1.06	0.40	0.54	0.46	0.01	0.10
0.3	2	1.00	1.05	0.37	0.57	0.44	0.01	0.11
0.6	2	1.02	1.05	0.41	0.53	0.64	0.02	0.08
0.6	2	1.03	1.07	0.46	0.47	0.64	0.02	0.06
0.6	2	1.02	1.07	0.45	0.49	0.64	0.02	0.08
0.9	2	0.88	0.00	0.00	0.00	0.90	nan	0.00
0.9	2	0.88	0.00	0.00	0.00	0.90	nan	0.00
0.9	2	0.88	0.00	0.00	0.00	0.90	nan	0.00
0.1	6	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	6	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	6	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	6	1.50	1.16	1.09	3.71	0.56	0.02	0.12
0.3	6	1.36	1.17	1.10	3.72	0.57	0.01	0.10
0.3	6	1.44	1.14	1.01	3.81	0.53	0.02	0.11
0.6	6	2.22	1.25	1.33	3.41	0.78	0.04	0.31
0.6	6	2.29	1.23	1.32	3.44	0.78	0.04	0.31
0.6	6	2.24	1.21	1.18	3.61	0.78	0.05	0.33
0.9	6	2.58	1.40	1.98	2.63	0.92	0.09	0.11
0.9	6	2.56	1.36	1.88	2.78	0.92	nan	0.13
0.9	6	2.65	0.00	0.00	0.00	0.90	nan	0.00
0.1	10	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	10	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	10	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	10	1.90	1.28	1.59	7.22	0.60	0.02	0.10
0.3	10	1.37	1.26	1.48	6.87	0.45	0.02	0.07
0.3	10	1.82	1.31	2.00	6.71	0.49	0.02	0.09
0.6	10	3.14	1.33	1.77	6.91	0.78	0.05	0.36
0.6	10	3.15	1.33	1.66	7.01	0.77	0.06	0.37
0.6	10	3.04	1.36	1.85	6.79	0.81	0.05	0.33
0.9	10	4.20	1.70	3.04	5.26	0.92	0.11	0.20
0.9	10	4.08	1.50	2.45	6.04	0.94	0.12	0.30
0.9	10	4.25	1.28	1.63	7.06	0.92	0.10	0.19
0.1	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	20	0.00	0.00	0.00	0.00	nan	nan	0.00
0.6	20	4.75	1.66	2.83	15.56	0.78	0.06	0.33
0.6	20	5.02	1.56	2.76	15.70	0.77	0.06	0.35
0.6	20	5.13	1.82	3.60	14.55	0.81	0.05	0.33
0.9	20	7.62	1.80	3.11	15.08	0.95	0.18	0.49
0.9	20	7.86	1.87	3.31	14.80	0.93	0.20	0.46
0.9	20	7.75	2.01	3.93	14.07	0.94	0.18	0.44
0.1	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	40	0.00	0.00	0.00	0.00	nan	nan	0.00
0.6	40	6.77	1.89	3.97	34.30	0.75	0.07	0.30
0.6	40	7.35	2.05	4.41	33.42	0.80	0.07	0.29
0.6	40	7.25	2.17	4.61	33.31	0.75	0.06	0.28
0.9	40	13.39	2.27	4.51	33.27	0.95	0.24	0.61
0.9	40	13.89	1.85	3.07	35.08	0.95	0.26	0.62
0.9	40	13.05	2.20	4.17	33.63	0.97	0.23	0.63
0.1	60	0.00	0.00	0.00	0.00	nan	nan	0.00
0.1	60	0.00	0.00	0.00	0.00	nan	0.00	0.00
0.1	60	0.00	0.00	0.00	0.00	nan	0.00	0.00
0.3	60	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	60	0.00	0.00	0.00	0.00	nan	nan	0.00
0.3	60	0.00	0.00	0.00	0.00	nan	nan	0.00
0.6	60	7.32	1.86	4.38	54.65	0.75	0.07	0.22
0.6	60	7.35	2.39	5.77	51.69	0.76	0.06	0.19
0.6	60	8.14	1.96	4.57	53.67	0.79	0.07	0.24
0.9	60	18.07	2.15	4.13	53.74	0.97	0.28	0.65
0.9	60	17.40	2.19	4.28	53.56	0.96	0.27	0.64
0.9	60	17.77	2.44	4.79	52.78	0.95	0.28	0.65
